accession_number	call_number	title	author	book_place	book_publisher	year	book_edition	description	book_isbn	book_supplementary	subject
7168	AG 5 W138 1996	The Oxford Colour Spelling Dictionary	"Waite, Maurice "	USA	Oxford University Press	1996	N/A	624 pages ; 20 cm	9.7802E+12		English language -- Orthography and spelling -- Dictionaries
7176	AG 5 W385 1980	Webster's beginning dictionary	American Book Company	Canada	G. & C. Merriam Co.	1980	N/A	816 pages ; illustrations colored ; 26 cm	278460062		"English language -- Dictionaries, Juvenile."
7682	AS 540 T216 1988	Unesco in the Philippines	"Tating, Apolinario and Tuason, Jeannette"	"Manila, Philippines"	UNESCO	1988	N/A	359 pages ; illustrations ; 29 cm	9718520007		Philippines -- Unesco National Commission of the Philippines.
1415	AY 1124 C5367 1991 c.1	Students Philippine almanac	[Children's Communication Center]	Philippines	Filway Marketing Inc.	1991	na	na	na		Calendar-- Philipines. Philippines--History--Almanacs. Philippines-- Social life and cultures. 
1416	AY 1124 C5367 1991 c.2	Students Philippine almanac 	[Children's Communication Center]	Philippines	Filway Marketing Inc.	1991	na	na	na		Calendar-- Philipines. Philippines--History--Almanacs. Philippines-- Social life and cultures. 
1418	AY 1124 C5367 1991 c.3	Students Philippine almanac 	[Children's Communication Center]	Philippines	Filway Marketing Inc.	1991	na	na	na		Calendar-- Philipines. Philippines--History--Almanacs. Philippines-- Social life and cultures. 
1282	AY 67 W946 2009	The New York Times 2010 Almanac	"Wright, John W."	USA	Penguin Group	2009	N/A	1004 pages : illustrations ; 21 cm	9.78014E+12		"        Almanacs, American.
Statistics. ; Almanacs."
7299	AZ 183 E 771 2004	Humanities For college students	"Espina, Felicidad & Robles, Felicidad & Rosales, Piedad"	Malabon City	ESP Printers Inc.	2000	na	180 pages ; illustrations ; 25 cm	9715740871		Humanities -- Study and Teaching (Higher) -- Philippines
7255	AZ 183 E771 2000	Humanities For College Students	"Espina, Felicidad & Robles, Felicidad & Rosales, Piedad"	Malabon City	ESP Printers Inc.	2000	na	na	9.78972E+12		Humanities -- Philippines.
1021	AZ 183 L213 2003	A humane experience :  Introduction to humanities	"Lamucho, Dr. Victoria Santos"	Philippines	"Mutya Publishing House, Inc."	2003	na	217 pages ; illustrations ; 25 cm	9718210466		Humanities -- Philippines
7257	AZ 183 M188 2007	Humanities for Filipinos	"Maguigad, Rogelio B. & Co, Madelaine & Bautista, Elvira B."	Manila	Libro Filipino Enterprises	2007	na	195 pages ; illustrations ;  25 cm	195		Humanities -- Philippines.
5566	AZ 183 S183 2012 c.3	Introduction to the humanities	"Sanchez, Custodiosa and Abad, Paz F. and Jao, Loreto V."	Manila	Rex Book Store	2012	6th	239 pages ; illustrations ; 26 cm	9.78971E+12		Humanities -- Study and Teaching (Higher) -- Philippines. Art -- Study and Teaching -- Philippines.
7207	AZ 183 S194 2002 c.1	Introduction to humanities	"Sanchez, Custodiosa A. and Abad, Paz F. and Jao, Loreto V."	Philippines	Rex Book Store	2002	Revised Edition	242 pages ; illustrations ; 25 cm 	9.78971E+12		Humanities -- Philippines
7264	AZ 183 S194 2002 c.2	Introduction to the humanities	"Sanchez, Custodiosa and Abad, Paz F. and Jao, Loreto V."	Manila	Rex Book Store	2002	Revised Edition	242 pages ; illustrations ; 25cm	9712334449		Humanities -- Study and Teaching (Higher) -- Philippines. Art -- Study and Teaching -- Philippines.
1024	AZ 183 S2111 2002	Introduction to Humanities	"Sanchez, Custodiosa A."	Philippines	"Rex Book Store, Inc."	2002	Revised	na	9712334449		Humanities -- Philippines
1025	AZ 183 S2111 2002	Introduction to Humanities	"Sanchez, Custodiosa A."	Philippines	"Rex Book Store, Inc."	2002	Revised	na	9712334449		Humanities -- Philippines
2198	AZ 183 S2111 2012	Introduction to Humanities	"Sanchez, Custodiosa A."	Philippines	"Rex Book Store, Inc."	2012	6th	na	9.78971E+12		Humanities -- Philippines
7139	AZ 183 Z946 1994	The humanities	"Zulueta, Francisco M. "	Mandaluyong City 	National Book Store	1994	na	283 pages ; illustrations ; 22cm	9710858300		Humanities -- Study and Teaching -- Philippines
6934	AZ 7425 T3742 1976	The Development of Western Thought	The Community on the Humanities	Philippines	Technology Supply Inc.	1976	na	229 pages ; illustrations ; 22cm 			Humanities. Art. Literature
2265	AZ 787 U5811 1998 c.1	Humanities :  Art & Society handbook	"University of the Philippines. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	"University of the Philippines Press,"	1998	na	279 pages ; 23 cm	na		"Humanities--Handbooks, manuals"
2266	AZ 787 U5811 1998 c.2	Humanities :  Art & Society handbook	"University of the Philippines. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	University of the Philippines Press	1998	na	279 pages ; 23 cm	na		"Humanities--Handbooks, manuals"
2267	"AZ 787 U5811 1998 c.3
"	Humanities :  Art & Society handbook	"University of the Philippines. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	"University of the Philippines Press,"	1998	na	279 pages ; 23 cm	na		"Humanities--Handbooks, manuals"
2268	AZ 787 U5811 1998 c.4	Humanities :  Art & Society handbook	"University of the Philippines. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	"University of the Philippines Press,"	1998	na	279 pages ; 23 cm	na		"Humanities--Handbooks, manuals"
2269	AZ 787 U5811 1998 c.5	Humanities :  Art & Society handbook	"University of the Philippines. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	"University of the Philippines Press,"	1998	na	279 pages ; 23 cm	na		"Humanities--Handbooks, manuals"
2270	AZ 787 U5811 1998 c.6	Humanities :  Art & Society handbook	"University of the Philippines. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	University of the Philippines Press	1998	na	279 pages ; 23 cm	na		"Humanities--Handbooks, manuals"
2271	AZ 787 U5811 1998 c.7	Humanities :  Art & Society handbook	"University of the Philippines. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	"University of the Philippines Press,"	1998	na	279 pages ; 23 cm	na		"Humanities--Handbooks, manuals"
2272	AZ 787 U5811 1998 c.8	Humanities :  Art & Society handbook	"University of the Philippines. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	"University of the Philippines Press,"	1998	na	279 pages ; 23 cm	na		"Humanities--Handbooks, manuals"
3739	AZ 787 U5811 1998 c.9	Humanities :  Art and Society Handbook	"U.P. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	University of the Philippines Press	1998	N/A	279 pages ; 23 cm	N/A		Humanities -- Handbooks -- Study and Teaching
3694	AZ 787 U65 1998 c.7	Humanities :  Art and Society Handbook	"U.P. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	University of the Philippines Press	1998	N/A	279 pages ; 23 cm	na		Humanities -- Handbooks -- Study and Teaching
3695	AZ 787 U65 1998 c.8	Humanities :  Art and Society Handbook	"U.P. College of Arts and Letters Foundation, Philippines"	"Quezon City, Philippines"	University of the Philippines Press	1998	N/A	279 pages ; 23 cm	N/A		Humanities -- Handbooks -- Study and Teaching
6828	B 132 W571 1983	Analytical reading and reasoning	"Whimbey, Arthur"	Stamford	Innovative Science Inc.	1983	First	278 pages : illustrations ; 28 cm	913804991		n/a
1422	B 29 Z214 1993	Human values 	Joseph A. Zaitchik and Roger E. Wiehe	USA	"Wm. C. Brown Communications, Inc."	1993	NA	NA	679143112		Philosophy.-- Education Foundation.
1570	B 3985 S758 1998  	Tractatus thological politicus	"Spinoza, Baruch"	Philippines	University Of Caloocan City	1998	na	na	na		Free thought--early works to 1800. Philosophy and religion--early works to 1800.
1488	B 5221 G846 2009	Filipino philosophy traditional approach	"Gripaldo, Rimaldo M."	"Manila, Philippines"	C & E Publishing Inc.	2009	2nd	316 pages ; 23 cm	9.78972E+12		Philosophy--Filipino.
5157	B 5335 P5521 1995	Ang bagong tipan	Gideons International	Philippines	Philippine Bible Society	1995	N/A	598 pages ; 14cm	N/A		B
1583	B 819 A858 1986	Man's search for God	"Astorga, Ma. Christina A. , Ayco, Charlito S. And Rosana,Teresita B."	Philippines	Ateneo De Manila University	1986	na	na	na		Existentialism.
7916	B 819 O521 1962	An introduction to existentialism	"Olson, Robert G."	New York	Dover Books	1962	N/A	260 pages ; 22 cm	N/A		Extentialism
7959	B161 F5 M552 1977	Applied Filipino Philosophy	"Mercado, Leonardo N. "	Tacloban City	Divine Word University 	1977	na	na	9711060043		
4963	B2157 B482 c.2	Practice teaching handbook	"Bernardez, Edisteo B."	Philippines	JIMCZYVILLE PUBLICATIONS	2011	na	186 pages ; illustrations ; 23 cm	9.78971E+12		Teaching -- Schools.
4964	B2157 B482 c.3	Practice teaching handbook	"Bernardez, Edisteo B."	Philippines	JIMCZYVILLE PUBLICATIONS	2011	na	186 pages ; illustrations ; 23 cm	9.78971E+12		Teaching -- Schools.
4962	B2157 B522 	Practice Teaching Handbook	"Bernardez, Edisteo B."	Philippines	JIMCZYVILLE PUBLICATIONS	2011	na	na	9.78971E+12		
7749	B491 O884 2005	Creating the good life	"O'Toole, James"	London	Rodale International Ltd	2005	2005	352 pages ; 24 cm	1405087862		"Aristotle. Ethics.
Conduct of life.
Happiness."
1424	B7 721 V341 1999	Child psychology	"Ross Vasta, Marshall M. Haith And Scott A. Miller"	USA	"John Wiley & Sons, Inc."	1999	3rd	NA	047119221X		Child Psychology.
6915	B732.5 K977 2003	"Be Patient, God isn't finished with me yet"	"Kuyper, Vicki J."	USA	Lighthouse Books	2003	N/A	256 pages ; 17cm	N/A		B
4077	BC 1083 M1121 2012 c.1	Elements of logic an integrative approach	"Maboloc, Christopher Ryan B."	Manila City	Rex Book Store	2012	Revised Edition	169 pages ; illustrations ; 23 cm	9.78971E+12		"Logic -- Textbooks.
Logic -- Study and teaching (Higher)"
4078	BC 1083 M1121 2012 c.2	Elements of logic an integrative approach	"Maboloc, Christopher Ryan B."	Manila City	Rex Book Store	2012	Revised Edition	169 pages ; illustrations ; 23 cm	9.78971E+12		"Logic -- Textbooks.
Logic -- Study and teaching (Higher)"
4079	BC 1083 M1121 2012 c.3	Elements of logic an integrative approach	"Maboloc, Christopher Ryan B."	Manila City	Rex Book Store	2012	Revised Edition	169 pages ; illustrations ; 23 cm	9.78971E+12		"Logic -- Textbooks.
Logic -- Study and teaching (Higher)"
5774	BC 1083 M1121 2012 c.4	Elements of logic an integrative approach	"Maboloc, Christopher Ryan B."	Manila City	Rex Book Store	2012	Revised Edition	169 pages ; illustrations ; 23 cm	9.78971E+12		"Logic -- Textbooks.
Logic -- Study and teaching (Higher)"
